"id_tree";"species";"x";"y";"z";"dbh_cm";"crown_type";"h_m";"hbase_m";"hmax_m";"rn_m";"rs_m";"re_m";"rw_m";"crown_openness";"crown_lad";"added_to_fill"
611;"fagus";46.0156805717129;44.007249342002;0;50.92958179;"8E";27.5;10.3;13.6;6.39;2.5;7.08;4.95;0.035;0.6;FALSE
600;"picea";59.0047087297576;72.9488309765555;0;61.75211792;"8E";33;3.9;13.5;4.2;5.39;5.33;4.04;0.035;0.6;FALSE
603;"picea";45.0124491045633;65.0130467946892;0;91.03662745;"8E";40.6;7.3;13.4;6.02;2.95;5.78;5.74;0.035;0.6;FALSE
705;"pseudotsuga";35.0278172564775;34.9652993440368;0;114.2732491;"8E";50.8;13.2;13.2;4.94;3.34;5.43;6.88;0.035;0.6;FALSE
517;"picea";76.964860445885;21.0392658624681;0;46.1549335;"8E";33.6;5.3;13.2;3.1;3.18;1.71;3.76;0.035;0.6;FALSE
607;"fagus";56.0237753963975;49.0230282426437;0;45.20000384;"8E";29.3;4.6;12.2;6.98;3.44;4.55;7.92;0.035;0.6;FALSE
602;"picea";46.9973412377959;74.9965433374558;0;47.42817304;"8E";33.5;8.2;12;3.12;3.38;3.69;4.06;0.035;0.6;FALSE
319;"pseudotsuga";116.99232008824;7.9927155682459;0;20.6901426;"8E";18.6;12;12;3.23;3.94;2.53;2.1;0.035;0.6;FALSE
405;"picea";90.9873948795937;64.0158702892426;0;87.21690881;"8E";37.4;7.3;11.7;5.89;5.52;3.72;4.66;0.035;0.6;FALSE
426;"picea";81.0216847868295;12.9286446614305;0;29.9211293;"8E";21.5;5.4;11.5;3.2;2.46;2.62;2.54;0.035;0.6;FALSE
609;"fagus";46.0065981291586;51.9922300877044;0;32.46760839;"8E";18.7;0.6;11.2;7.15;1.99;2.4;2.37;0.035;0.6;FALSE
410;"fagus";86.9793886673788;49.0256772883887;0;28.64788976;"8E";19.9;1.6;11.1;6.52;7.16;4.81;4.9;0.035;0.6;FALSE
809;"pseudotsuga";7.01226632736163;41.9716469045076;0;17.82535363;"8E";18.9;9.8;10.6;2.68;3.11;2.71;3.77;0.035;0.6;FALSE
808;"pseudotsuga";12.9741329940818;36.9740328889746;0;15.59718442;"8E";16.2;10.5;10.5;2.33;2.2;1.7;3.18;0.035;0.6;FALSE
406;"picea";85.0262850830864;63.9439676190206;0;90.40000768;"8E";41.8;10.4;10.4;6.22;5.04;6.02;3.8;0.035;0.6;FALSE
520;"fagus";63.9985383942262;24.9844518470153;0;29.9211293;"8E";26.7;4.8;10.3;5.23;6.55;3.5;4.91;0.035;0.6;FALSE
812;"pseudotsuga";12.9733761238689;42.0435495747295;0;19.09859317;"8E";21.7;10.3;10.3;3.39;3.38;2.44;2.65;0.035;0.6;FALSE
409;"picea";97.9725500741043;49.0056202277479;0;77.34930234;"8E";38.5;2.6;10;5.32;5.16;5.69;5.41;0.035;0.6;FALSE
306;"fagus";110.009057069261;49.9660885278708;0;27.05634033;"8E";21.4;0.3;9.8;4.4;5.7;4.76;3.95;0.035;0.6;FALSE
